Id,fid,ContPop,pob
12551,1,UAE,oman
120001,2,UAE,dubai
HGDP00448,3,Subsahara,
12572,4,UAE,palestine
120002,5,UAE,sharjah
HGDP00479,6,Subsahara,
12586,7,UAE,abu_dhabi
120003,8,UAE,al_ain
HGDP00985,9,Subsahara,
12608,10,UAE,kenya
120004,11,UAE,abu_dhabi
HGDP01094,12,Subsahara,
12677,13,UAE,abu_dhabi
120005,14,UAE,sharjah
HGDP00982,15,Subsahara,
12714,16,UAE,al_fujairah
120006,17,UAE,al_fujairah
HGDP00911,18,Subsahara,
12726,19,UAE,abu_dhabi
120007,20,UAE,
HGDP01202,21,Subsahara,
12738,22,UAE,dubai
120008,23,UAE,
HGDP00927,24,Subsahara,
12558,25,UAE,abu_dhabi
120009,26,UAE,sharjah
HGDP00461,27,Subsahara,
12573,28,UAE,abu_dhabi
120010,29,UAE,dubai
HGDP00451,30,Subsahara,
12587,31,UAE,abu_dhabi
120011,32,UAE,al_fujairah
HGDP00986,33,Subsahara,
12612,34,UAE,yemen
120012,35,UAE,dubai
HGDP00449,36,Subsahara,
12678,37,UAE,india
120013,38,UAE,abu_dhabi
HGDP00983,39,Subsahara,
12654,40,UAE,abu_dhabi
120014,41,UAE,dubai
HGDP00912,42,Subsahara,
12727,43,UAE,al_fujairah
120015,44,UAE,dubai
HGDP01283,45,Subsahara,
12739,46,UAE,abu_dhabi
120016,47,UAE,um_alquwain
HGDP00928,48,Subsahara,
12560,49,UAE,indonesia
120017,50,UAE,
HGDP00937,51,Subsahara,
12574,52,UAE,rak
120018,53,UAE,al_ain
HGDP01408,54,Subsahara,
12588,55,UAE,sri_lanka
120019,56,UAE,dubai
HGDP00991,57,Subsahara,
12615,58,UAE,india
120020,59,UAE,sharjah
HGDP01031,60,Subsahara,
12700,61,UAE,
120021,62,UAE,sharjah
HGDP01263,63,NorthAfrica,
12716,64,UAE,abu_dhabi
120022,65,UAE,
HGDP01275,66,NorthAfrica,
12728,67,UAE,dubai
120023,68,UAE,abu_dhabi
HGDP00611,69,MiddleEast,
12740,70,UAE,abu_dhabi
120024,71,UAE,dubai
HGDP00623,72,MiddleEast,
12561,73,UAE,abu_dhabi
120025,74,UAE,abu_dhabi
HGDP00634,75,MiddleEast,
12575,76,UAE,al_fujairah
120026,77,UAE,
HGDP00645,78,MiddleEast,
12589,79,UAE,um_alquwain
120027,80,UAE,
HGDP00557,81,MiddleEast,
12628,82,UAE,abu_dhabi
120028,83,UAE,dubai
HGDP00569,84,MiddleEast,
12704,85,UAE,uae
120029,86,UAE,dubai
HGDP00581,87,MiddleEast,
12717,88,UAE,rak
120030,89,UAE,abu_dhabi
HGDP00594,90,MiddleEast,
12729,91,UAE,abu_dhabi
120031,92,UAE,dubai
HGDP00675,93,MiddleEast,
12741,94,UAE,rak
120032,95,UAE,abu_dhabi
HGDP00687,96,MiddleEast,
10231,97,UAE,dubai
120033,98,UAE,abu_dhabi
HGDP00697,99,MiddleEast,
12577,100,UAE,abu_dhabi
120034,101,UAE,al_ain
HGDP00729,102,MiddleEast,
12590,103,UAE,rak
120035,104,UAE,dubai
HGDP00741,105,MiddleEast,
12629,106,UAE,indonesia
120036,107,UAE,
HGDP00011,108,CentralSouthAsia,
12706,109,UAE,saudi_arabia
120037,110,UAE,al_ain
HGDP00035,111,CentralSouthAsia,
12718,112,UAE,abu_dhabi
120038,113,UAE,abu_dhabi
HGDP00058,114,CentralSouthAsia,
12730,115,UAE,sharjah
120039,116,UAE,abu_dhabi
HGDP00082,117,CentralSouthAsia,
12742,118,UAE,abu_dhabi
120040,119,UAE,abu_dhabi
HGDP00103,120,CentralSouthAsia,
12553,121,UAE,yemen
120042,122,UAE,um_alquwain
HGDP00938,123,Subsahara,
12578,124,UAE,dubai
120043,125,UAE,dubai
HGDP01411,126,Subsahara,
12593,127,UAE,uae
120044,128,UAE,abu_dhabi
HGDP01264,129,NorthAfrica,
12631,130,UAE,uae
120045,131,UAE,abu_dhabi
HGDP01276,132,NorthAfrica,
12636,133,UAE,yemen
120046,134,UAE,
HGDP00612,135,MiddleEast,
12719,136,UAE,rak
120047,137,UAE,
HGDP00624,138,MiddleEast,
12731,139,UAE,abu_dhabi
120048,140,UAE,
HGDP00635,141,MiddleEast,
12743,142,UAE,al_fujairah
120049,143,UAE,dubai
HGDP00646,144,MiddleEast,
12566,145,UAE,yemen
120050,146,UAE,al_ain
HGDP00558,147,MiddleEast,
12610,148,UAE,yemen
120051,149,UAE,al_ain
HGDP00570,150,MiddleEast,
12594,151,UAE,sharjah
120052,152,UAE,abu_dhabi
HGDP00582,153,MiddleEast,
12617,154,UAE,yemen
120053,155,UAE,sharjah
HGDP00595,156,MiddleEast,
12708,157,UAE,al_ain
120054,158,UAE,al_ain
HGDP00676,159,MiddleEast,
12720,160,UAE,rak
120055,161,UAE,al_ain
HGDP00688,162,MiddleEast,
12659,163,UAE,yemen
120056,164,UAE,
HGDP00698,165,MiddleEast,
12744,166,UAE,rak
120057,167,UAE,dubai
HGDP00730,168,MiddleEast,
12567,169,UAE,abu_dhabi
120058,170,UAE,dubai
HGDP00742,171,MiddleEast,
12580,172,UAE,canada
120059,173,UAE,dubai
HGDP00013,174,CentralSouthAsia,
12595,175,UAE,al_ain
120060,176,UAE,
HGDP00037,177,CentralSouthAsia,
12655,178,UAE,yemen
120061,179,UAE,al_ain
HGDP00060,180,CentralSouthAsia,
12709,181,UAE,rak
120062,182,UAE,
HGDP00084,183,CentralSouthAsia,
12721,184,UAE,rak
120063,185,UAE,rak
HGDP00104,186,CentralSouthAsia,
12733,187,UAE,sharjah
120064,188,UAE,al_ain
HGDP00464,189,Subsahara,
12745,190,UAE,dubai
120065,191,UAE,rak
HGDP01084,192,Subsahara,
12568,193,UAE,abu_dhabi
120066,194,UAE,yemen
HGDP00450,195,Subsahara,
12581,196,UAE,yemen
120067,197,UAE,abu_dhabi
HGDP00984,198,Subsahara,
12596,199,UAE,abu_dhabi
120068,200,UAE,sharjah
HGDP00913,201,Subsahara,
12657,202,UAE,uae
120069,203,UAE,sharjah
HGDP01284,204,Subsahara,
12638,205,UAE,yemen
120070,206,UAE,sharjah
HGDP00929,207,Subsahara,
12722,208,UAE,abu_dhabi
120071,209,UAE,dubai
HGDP00939,210,Subsahara,
12734,211,UAE,sharjah
120072,212,UAE,abu_dhabi
HGDP01412,213,Subsahara,
12746,214,UAE,abu_dhabi
120073,215,UAE,al_ain
HGDP01029,216,Subsahara,
12569,217,UAE,palestine
120074,218,UAE,sharjah
HGDP01253,219,NorthAfrica,
12582,220,UAE,dubai
120075,221,UAE,sharjah
HGDP01265,222,NorthAfrica,
12599,223,UAE,uae
120076,224,UAE,dubai
HGDP01277,225,NorthAfrica,
12660,226,UAE,oman
120077,227,UAE,abu_dhabi
HGDP00613,228,MiddleEast,
12711,229,UAE,abu_dhabi
120078,230,UAE,dubai
HGDP00636,231,MiddleEast,
12723,232,UAE,ajman
120079,233,UAE,dubai
HGDP00647,234,MiddleEast,
12735,235,UAE,india
120080,236,UAE,dubai
HGDP00559,237,MiddleEast,
12747,238,UAE,rak
120081,239,UAE,sharjah
HGDP00571,240,MiddleEast,
12606,241,UAE,yemen
